AFFYMETRIX_3PRIME_IVT_ID	Name	Species
1559548_at	activin A receptor type 2B(ACVR2B)	Homo sapiens
1557103_a_at	lemur tyrosine kinase 3(LMTK3)	Homo sapiens
1569256_a_at	family with sequence similarity 43 member B(FAM43B)	Homo sapiens
1565728_at	tetratricopeptide repeat domain 34(TTC34)	Homo sapiens
1557143_at	CUB and Sushi multiple domains 2(CSMD2)	Homo sapiens
1570169_at	CUB and Sushi multiple domains 2(CSMD2)	Homo sapiens
205260_s_at	acylphosphatase 1(ACYP1)	Homo sapiens
1554609_at	uncharacterized LOC100287896(LOC100287896)	Homo sapiens
206833_s_at	acylphosphatase 2(ACYP2)	Homo sapiens
1562173_a_at	long intergenic non-protein coding RNA 555(LINC00555)	Homo sapiens
204639_at	adenosine deaminase(ADA)	Homo sapiens
205180_s_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens
205179_s_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens
202604_x_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
202603_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens
201786_s_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens
1569983_at	long intergenic non-protein coding RNA 566(LINC00566)	Homo sapiens
203865_s_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens
1553765_a_at	kelch like family member 32(KLHL32)	Homo sapiens
1562990_at	long intergenic non-protein coding RNA 564(LINC00564)	Homo sapiens
1563488_at	transmembrane protein 132B(TMEM132B)	Homo sapiens
1561287_at	long intergenic non-protein coding RNA 561(LINC00561)	Homo sapiens
1561369_at	extracellular leucine rich repeat and fibronectin type III domain containing 2(ELFN2)	Homo sapiens
1560713_a_at	extracellular leucine rich repeat and fibronectin type III domain containing 2(ELFN2)	Homo sapiens
1563108_at	extracellular leucine rich repeat and fibronectin type III domain containing 2(ELFN2)	Homo sapiens
1559072_a_at	extracellular leucine rich repeat and fibronectin type III domain containing 2(ELFN2)	Homo sapiens
1560988_a_at	long intergenic non-protein coding RNA 556(LINC00556)	Homo sapiens
1557617_at	DCTN1 antisense RNA 1(DCTN1-AS1)	Homo sapiens
1561666_a_at	PSMG3 antisense RNA 1 (head to head)(PSMG3-AS1)	Homo sapiens
1558847_at	long intergenic non-protein coding RNA 565(LINC00565)	Homo sapiens
1554827_a_at	adenylate cyclase 7(ADCY7)	Homo sapiens
203741_s_at	adenylate cyclase 7(ADCY7)	Homo sapiens
1569706_at	Myb like, SWIRM and MPN domains 1(MYSM1)	Homo sapiens
1561478_at	long intergenic non-protein coding RNA 560(LINC00560)	Homo sapiens
206811_at	adenylate cyclase 8(ADCY8)	Homo sapiens
1556884_a_at	long intergenic non-protein coding RNA 558(LINC00558)	Homo sapiens
204497_at	adenylate cyclase 9(ADCY9)	Homo sapiens
204498_s_at	adenylate cyclase 9(ADCY9)	Homo sapiens
206281_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens
1569775_at	ring finger protein 157(RNF157)	Homo sapiens
206807_s_at	adducin 2(ADD2)	Homo sapiens
205268_s_at	adducin 2(ADD2)	Homo sapiens
201034_at	adducin 3(ADD3)	Homo sapiens
205882_x_at	adducin 3(ADD3)	Homo sapiens
201752_s_at	adducin 3(ADD3)	Homo sapiens
201753_s_at	adducin 3(ADD3)	Homo sapiens
1556891_at	sortilin related VPS10 domain containing receptor 1(SORCS1)	Homo sapiens
206262_at	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens
1553067_a_at	gonadotropin releasing hormone receptor 2 (pseudogene)(GNRHR2)	Homo sapiens
1561960_at	chondroitin sulfate proteoglycan 4 pseudogene 5(CSPG4P5)	Homo sapiens
1554261_at	kelch like family member 29(KLHL29)	Homo sapiens
1554262_s_at	kelch like family member 29(KLHL29)	Homo sapiens
204120_s_at	adenosine kinase(ADK)	Homo sapiens
204119_s_at	adenosine kinase(ADK)	Homo sapiens
202912_at	adrenomedullin(ADM)	Homo sapiens
1563296_at	long intergenic non-protein coding RNA 572(LINC00572)	Homo sapiens
205481_at	adenosine A1 receptor(ADORA1)	Homo sapiens
1553458_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens
205891_at	adenosine A2b receptor(ADORA2B)	Homo sapiens
1563961_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
1564635_a_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
1560097_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
1563639_a_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
1563830_a_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
1557771_at	forkhead associated phosphopeptide binding domain 1(FHAD1)	Homo sapiens
206171_at	adenosine A3 receptor(ADORA3)	Homo sapiens
202239_at	poly(ADP-ribose) polymerase family member 4(PARP4)	Homo sapiens
1561165_a_at	defensin beta 108B(DEFB108B)	Homo sapiens
1552497_a_at	SLAM family member 6(SLAMF6)	Homo sapiens
1563450_at	defensin beta 107A(DEFB107A)	Homo sapiens
1552412_a_at	defensin beta 106A(DEFB106A)	Homo sapiens
1552411_at	defensin beta 106A(DEFB106A)	Homo sapiens
1553002_at	defensin beta 105A(DEFB105A)	Homo sapiens
206128_at	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens
1557314_at	DPY19L2 pseudogene 3(DPY19L2P3)	Homo sapiens
206170_at	adrenoceptor beta 2(ADRB2)	Homo sapiens
206812_at	adrenoceptor beta 3(ADRB3)	Homo sapiens
201402_at	G protein-coupled receptor kinase 2(GRK2)	Homo sapiens
201401_s_at	G protein-coupled receptor kinase 2(GRK2)	Homo sapiens
1557290_at	DPY19L2 pseudogene 4(DPY19L2P4)	Homo sapiens
204184_s_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
204183_s_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
1561274_at	G protein-coupled receptor kinase 3(GRK3)	Homo sapiens
202144_s_at	adenylosuccinate lyase(ADSL)	Homo sapiens
1558792_x_at	adaptor related protein complex 2 subunit alpha 1(AP2A1)	Homo sapiens
205423_at	adaptor related protein complex 1 subunit beta 1(AP1B1)	Homo sapiens
200615_s_at	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens
200612_s_at	adaptor related protein complex 2 subunit beta 1(AP2B1)	Homo sapiens
203350_at	adaptor related protein complex 1 subunit gamma 1(AP1G1)	Homo sapiens
201792_at	AE binding protein 1(AEBP1)	Homo sapiens
1567878_at	defensin beta 114(DEFB114)	Homo sapiens
1562167_a_at	defensin beta 122 (pseudogene)(DEFB122)	Homo sapiens
1559863_a_at	AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)	Homo sapiens
1552287_s_at	AFG3 like matrix AAA peptidase subunit 1, pseudogene(AFG3L1P)	Homo sapiens
206840_at	afamin(AFM)	Homo sapiens
204694_at	alpha fetoprotein(AFP)	Homo sapiens
1553093_a_at	defensin beta 119(DEFB119)	Homo sapiens
204333_s_at	aspartylglucosaminidase(AGA)	Homo sapiens
204332_s_at	aspartylglucosaminidase(AGA)	Homo sapiens
1554950_at	aggrecan(ACAN)	Homo sapiens
205679_x_at	aggrecan(ACAN)	Homo sapiens
1552998_at	defensin beta 125(DEFB125)	Homo sapiens
1568375_at	defensin beta 124(DEFB124)	Homo sapiens
1568377_x_at	defensin beta 124(DEFB124)	Homo sapiens
203566_s_at	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)	Homo sapiens
202834_at	angiotensinogen(AGT)	Homo sapiens
205357_s_at	angiotensin II receptor type 1(AGTR1)	Homo sapiens
1560830_a_at	chromosome 19 open reading frame 84(C19orf84)	Homo sapiens
1554646_at	oxysterol binding protein like 1A(OSBPL1A)	Homo sapiens
206644_at	nuclear receptor subfamily 0 group B member 1(NR0B1)	Homo sapiens
206645_s_at	nuclear receptor subfamily 0 group B member 1(NR0B1)	Homo sapiens
200903_s_at	adenosylhomocysteinase(AHCY)	Homo sapiens
202820_at	aryl hydrocarbon receptor(AHR)	Homo sapiens
204551_s_at	alpha 2-HS glycoprotein(AHSG)	Homo sapiens
202588_at	adenylate kinase 1(AK1)	Homo sapiens
202587_s_at	adenylate kinase 1(AK1)	Homo sapiens
205996_s_at	adenylate kinase 2(AK2)	Homo sapiens
204347_at	adenylate kinase 4(AK4)	Homo sapiens
204348_s_at	adenylate kinase 4(AK4)	Homo sapiens
1562245_a_at	zinc finger protein 578(ZNF578)	Homo sapiens
1562244_at	zinc finger protein 578(ZNF578)	Homo sapiens
1564285_at	helicase for meiosis 1(HFM1)	Homo sapiens
203809_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
1560689_s_at	AKT serine/threonine kinase 2(AKT2)	Homo sapiens
1561263_at	C1q and TNF related 3(C1QTNF3)	Homo sapiens
1553255_at	endogenous retrovirus group V member 1, envelope(ERVV-1)	Homo sapiens
205633_s_at	5'-aminolevulinate synthase 1(ALAS1)	Homo sapiens
1557430_at	small integral membrane protein 17(SMIM17)	Homo sapiens
1568589_at	albumin(ALB)	Homo sapiens
1565228_s_at	albumin(ALB)	Homo sapiens
1552532_a_at	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens
1553989_a_at	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens
201952_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
201951_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
1569362_at	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens
1553153_at	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens
1553155_x_at	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens
1553151_at	ATPase H+ transporting V0 subunit d2(ATP6V0D2)	Homo sapiens
205142_x_at	ATP binding cassette subfamily D member 1(ABCD1)	Homo sapiens
201425_at	aldehyde dehydrogenase 2 family member(ALDH2)	Homo sapiens
205623_at	aldehyde dehydrogenase 3 family member A1(ALDH3A1)	Homo sapiens
203180_at	aldehyde dehydrogenase 1 family member A3(ALDH1A3)	Homo sapiens
1558649_at	aldehyde dehydrogenase 1 family member A3(ALDH1A3)	Homo sapiens
205640_at	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	Homo sapiens
1565731_at	aldehyde dehydrogenase 3 family member B1(ALDH3B1)	Homo sapiens
204941_s_at	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens
204942_s_at	aldehyde dehydrogenase 3 family member B2(ALDH3B2)	Homo sapiens
201612_at	aldehyde dehydrogenase 9 family member A1(ALDH9A1)	Homo sapiens
202054_s_at	aldehyde dehydrogenase 3 family member A2(ALDH3A2)	Homo sapiens
202053_s_at	aldehyde dehydrogenase 3 family member A2(ALDH3A2)	Homo sapiens
200966_x_at	aldolase, fructose-bisphosphate A(ALDOA)	Homo sapiens
1552783_at	zinc finger protein 417(ZNF417)	Homo sapiens
204704_s_at	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens
204705_x_at	aldolase, fructose-bisphosphate B(ALDOB)	Homo sapiens
202022_at	aldolase, fructose-bisphosphate C(ALDOC)	Homo sapiens
201272_at	aldo-keto reductase family 1 member B(AKR1B1)	Homo sapiens
1558622_a_at	zinc finger protein 548(ZNF548)	Homo sapiens
1553719_s_at	zinc finger protein 548(ZNF548)	Homo sapiens
1553718_at	zinc finger protein 548(ZNF548)	Homo sapiens
1569674_at	long intergenic non-protein coding RNA 630(LINC00630)	Homo sapiens
1559510_at	long intergenic non-protein coding RNA 630(LINC00630)	Homo sapiens
204446_s_at	arachidonate 5-lipoxygenase(ALOX5)	Homo sapiens
204445_s_at	arachidonate 5-lipoxygenase(ALOX5)	Homo sapiens
204174_at	arachidonate 5-lipoxygenase activating protein(ALOX5AP)	Homo sapiens
1570402_at	kinesin light chain 3(KLC3)	Homo sapiens
1552749_a_at	kinesin light chain 3(KLC3)	Homo sapiens
206714_at	arachidonate 15-lipoxygenase type B(ALOX15B)	Homo sapiens
1555416_a_at	arachidonate 15-lipoxygenase type B(ALOX15B)	Homo sapiens
1557924_s_at	alkaline phosphatase, biomineralization associated(ALPL)	Homo sapiens
204664_at	alkaline phosphatase, placental(ALPP)	Homo sapiens
205477_s_at	alpha-1-microglobulin/bikunin precursor(AMBP)	Homo sapiens
1569772_x_at	LY6/PLAUR domain containing 4(LYPD4)	Homo sapiens
201197_at	adenosylmethionine decarboxylase 1(AMD1)	Homo sapiens
201196_s_at	adenosylmethionine decarboxylase 1(AMD1)	Homo sapiens
1553780_at	long intergenic non-protein coding RNA 638(LINC00638)	Homo sapiens
202204_s_at	autocrine motility factor receptor(AMFR)	Homo sapiens
202203_s_at	autocrine motility factor receptor(AMFR)	Homo sapiens
200095_x_at	ribosomal protein S10 pseudogene 19(RPS10P19)	Homo sapiens
206516_at	anti-Mullerian hormone(AMH)	Homo sapiens
206892_at	anti-Mullerian hormone receptor type 2(AMHR2)	Homo sapiens
206121_at	adenosine monophosphate deaminase 1(AMPD1)	Homo sapiens
1553641_a_at	testis specific 13(TSGA13)	Homo sapiens
205257_s_at	amphiphysin(AMPH)	Homo sapiens
202931_x_at	bridging integrator 1(BIN1)	Homo sapiens
204294_at	aminomethyltransferase(AMT)	Homo sapiens
205141_at	angiogenin(ANG)	Homo sapiens
205608_s_at	angiopoietin 1(ANGPT1)	Homo sapiens
1552939_at	angiopoietin 1(ANGPT1)	Homo sapiens
205609_at	angiopoietin 1(ANGPT1)	Homo sapiens
1552391_at	coiled-coil domain containing 185(CCDC185)	Homo sapiens
205572_at	angiopoietin 2(ANGPT2)	Homo sapiens
205389_s_at	ankyrin 1(ANK1)	Homo sapiens
205390_s_at	ankyrin 1(ANK1)	Homo sapiens
205391_x_at	ankyrin 1(ANK1)	Homo sapiens
1553276_at	zinc finger protein 560(ZNF560)	Homo sapiens
202920_at	ankyrin 2(ANK2)	Homo sapiens
202921_s_at	ankyrin 2(ANK2)	Homo sapiens
1553238_a_at	homeodomain interacting protein kinase 4(HIPK4)	Homo sapiens
206385_s_at	ankyrin 3(ANK3)	Homo sapiens
1552594_at	transmembrane protein 190(TMEM190)	Homo sapiens
202888_s_at	alanyl aminopeptidase, membrane(ANPEP)	Homo sapiens
202825_at	solute carrier family 25 member 4(SLC25A4)	Homo sapiens
200657_at	solute carrier family 25 member 5(SLC25A5)	Homo sapiens
1561969_at	zona pellucida like domain containing 1(ZPLD1)	Homo sapiens
1569777_a_at	zona pellucida like domain containing 1(ZPLD1)	Homo sapiens
201012_at	annexin A1(ANXA1)	Homo sapiens
201590_x_at	annexin A2(ANXA2)	Homo sapiens
1568126_at	annexin A2(ANXA2)	Homo sapiens
1564785_at	long intergenic non-protein coding RNA 1599(LINC01599)	Homo sapiens
1555044_a_at	kelch like family member 40(KLHL40)	Homo sapiens
201301_s_at	annexin A4(ANXA4)	Homo sapiens
201302_at	annexin A4(ANXA4)	Homo sapiens
200782_at	annexin A5(ANXA5)	Homo sapiens
200982_s_at	annexin A6(ANXA6)	Homo sapiens
201366_at	annexin A7(ANXA7)	Homo sapiens
206200_s_at	annexin A11(ANXA11)	Homo sapiens
205639_at	acyloxyacyl hydrolase(AOAH)	Homo sapiens
1558584_at	ubiquitin like 4B(UBL4B)	Homo sapiens
205082_s_at	aldehyde oxidase 1(AOX1)	Homo sapiens
205083_at	aldehyde oxidase 1(AOX1)	Homo sapiens
1559051_s_at	cyclic GMP-AMP synthase(CGAS)	Homo sapiens
1561708_at	cyclic GMP-AMP synthase(CGAS)	Homo sapiens
204859_s_at	apoptotic peptidase activating factor 1(APAF1)	Homo sapiens
206679_at	amyloid beta precursor protein binding family A member 1(APBA1)	Homo sapiens
202652_at	amyloid beta precursor protein binding family B member 1(APBB1)	Homo sapiens
203525_s_at	APC regulator of WNT signaling pathway(APC)	Homo sapiens
203527_s_at	APC regulator of WNT signaling pathway(APC)	Homo sapiens
203526_s_at	APC regulator of WNT signaling pathway(APC)	Homo sapiens
206350_at	amyloid P component, serum(APCS)	Homo sapiens
201284_s_at	acylaminoacyl-peptide hydrolase(APEH)	Homo sapiens
202076_at	baculoviral IAP repeat containing 2(BIRC2)	Homo sapiens
206536_s_at	X-linked inhibitor of apoptosis(XIAP)	Homo sapiens
206537_at	X-linked inhibitor of apoptosis(XIAP)	Homo sapiens
1555826_at	baculoviral IAP repeat containing 5(BIRC5)	Homo sapiens
202095_s_at	baculoviral IAP repeat containing 5(BIRC5)	Homo sapiens
202094_at	baculoviral IAP repeat containing 5(BIRC5)	Homo sapiens
204450_x_at	apolipoprotein A1(APOA1)	Homo sapiens
1564315_at	long intergenic non-protein coding RNA 2905(LINC02905)	Homo sapiens
206894_at	apolipoprotein A4(APOA4)	Homo sapiens
205108_s_at	apolipoprotein B(APOB)	Homo sapiens
1553799_at	family with sequence similarity 227 member B(FAM227B)	Homo sapiens
1557429_s_at	family with sequence similarity 227 member B(FAM227B)	Homo sapiens
204416_x_at	apolipoprotein C1(APOC1)	Homo sapiens
206784_at	aquaporin 8(AQP8)	Homo sapiens
205820_s_at	apolipoprotein C3(APOC3)	Homo sapiens
201525_at	apolipoprotein D(APOD)	Homo sapiens
203382_s_at	apolipoprotein E(APOE)	Homo sapiens
203381_s_at	apolipoprotein E(APOE)	Homo sapiens
205216_s_at	apolipoprotein H(APOH)	Homo sapiens
200602_at	amyloid beta precursor protein(APP)	Homo sapiens
203219_s_at	adenine phosphoribosyltransferase(APRT)	Homo sapiens
204582_s_at	kallikrein related peptidase 3(KLK3)	Homo sapiens
204583_x_at	kallikrein related peptidase 3(KLK3)	Homo sapiens
204781_s_at	Fas cell surface death receptor(FAS)	Homo sapiens
204780_s_at	Fas cell surface death receptor(FAS)	Homo sapiens
204967_at	shroom family member 2(SHROOM2)	Homo sapiens
206672_at	aquaporin 2(AQP2)	Homo sapiens
203747_at	aquaporin 3 (Gill blood group)(AQP3)	Homo sapiens
1561185_at	testis-specific transcript, Y-linked 7(TTTY7)	Homo sapiens
205568_at	aquaporin 9(AQP9)	Homo sapiens
201895_at	A-Raf proto-oncogene, serine/threonine kinase(ARAF)	Homo sapiens
201176_s_at	archain 1(ARCN1)	Homo sapiens
204732_s_at	tripartite motif containing 23(TRIM23)	Homo sapiens
205239_at	amphiregulin(AREG)	Homo sapiens
1557285_at	amphiregulin(AREG)	Homo sapiens
200065_s_at	ADP ribosylation factor 1(ARF1)	Homo sapiens
1553395_a_at	CD200 receptor 1(CD200R1)	Homo sapiens
1552875_a_at	CD200 receptor 1(CD200R1)	Homo sapiens
200011_s_at	ADP ribosylation factor 3(ARF3)	Homo sapiens
200734_s_at	ADP ribosylation factor 3(ARF3)	Homo sapiens
201097_s_at	ADP ribosylation factor 4(ARF4)	Homo sapiens
201096_s_at	ADP ribosylation factor 4(ARF4)	Homo sapiens
203586_s_at	ADP ribosylation factor like GTPase 4D(ARL4D)	Homo sapiens
203587_at	ADP ribosylation factor like GTPase 4D(ARL4D)	Homo sapiens
201526_at	ADP ribosylation factor 5(ARF5)	Homo sapiens
203312_x_at	ADP ribosylation factor 6(ARF6)	Homo sapiens
203311_s_at	ADP ribosylation factor 6(ARF6)	Homo sapiens
1552770_s_at	zinc finger protein 563(ZNF563)	Homo sapiens
206177_s_at	arginase 1(ARG1)	Homo sapiens
203945_at	arginase 2(ARG2)	Homo sapiens
203946_s_at	arginase 2(ARG2)	Homo sapiens
1562871_at	aldehyde oxidase 2, pseudogene(AOX2P)	Homo sapiens
1555814_a_at	ras homolog family member A(RHOA)	Homo sapiens
200059_s_at	ras homolog family member A(RHOA)	Homo sapiens
1553962_s_at	ras homolog family member B(RHOB)	Homo sapiens
1553963_at	ras homolog family member B(RHOB)	Homo sapiens
1553965_x_at	ras homolog family member B(RHOB)	Homo sapiens
200885_at	ras homolog family member C(RHOC)	Homo sapiens
203175_at	ras homolog family member G(RHOG)	Homo sapiens
1569393_at	uncharacterized protein MGC15885(MGC15885)	Homo sapiens
202117_at	Rho GTPase activating protein 1(ARHGAP1)	Homo sapiens
204425_at	Rho GTPase activating protein 4(ARHGAP4)	Homo sapiens
1552627_a_at	Rho GTPase activating protein 5(ARHGAP5)	Homo sapiens
206167_s_at	Rho GTPase activating protein 6(ARHGAP6)	Homo sapiens
201168_x_at	Rho GDP dissociation inhibitor alpha(ARHGDIA)	Homo sapiens
201167_x_at	Rho GDP dissociation inhibitor alpha(ARHGDIA)	Homo sapiens
1555811_at	Rho GDP dissociation inhibitor beta(ARHGDIB)	Homo sapiens
201288_at	Rho GDP dissociation inhibitor beta(ARHGDIB)	Homo sapiens
1555812_a_at	Rho GDP dissociation inhibitor beta(ARHGDIB)	Homo sapiens
206888_s_at	Rho GDP dissociation inhibitor gamma(ARHGDIG)	Homo sapiens
1553052_at	WAP four-disulfide core domain 13(WFDC13)	Homo sapiens
204951_at	ras homolog family member H(RHOH)	Homo sapiens
201659_s_at	ADP ribosylation factor like GTPase 1(ARL1)	Homo sapiens
201657_at	ADP ribosylation factor like GTPase 1(ARL1)	Homo sapiens
201658_at	ADP ribosylation factor like GTPase 1(ARL1)	Homo sapiens
202564_x_at	ADP ribosylation factor like GTPase 2(ARL2)	Homo sapiens
202641_at	ADP ribosylation factor like GTPase 3(ARL3)	Homo sapiens
203388_at	arrestin beta 2(ARRB2)	Homo sapiens
204443_at	arylsulfatase A(ARSA)	Homo sapiens
1554030_at	arylsulfatase B(ARSB)	Homo sapiens
1554032_at	arylsulfatase B(ARSB)	Homo sapiens
206129_s_at	arylsulfatase B(ARSB)	Homo sapiens
1553267_a_at	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens
1553266_at	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens
203768_s_at	steroid sulfatase(STS)	Homo sapiens
203770_s_at	steroid sulfatase(STS)	Homo sapiens
203769_s_at	steroid sulfatase(STS)	Homo sapiens
203767_s_at	steroid sulfatase(STS)	Homo sapiens
1563899_at	lactase like(LCTL)	Homo sapiens
206831_s_at	arylsulfatase D(ARSD)	Homo sapiens
205894_at	arylsulfatase L(ARSL)	Homo sapiens
1570479_at	ADP-ribosyltransferase 1(ART1)	Homo sapiens
1570480_s_at	ADP-ribosyltransferase 1(ART1)	Homo sapiens
1552596_at	growth arrest specific 2 like 2(GAS2L2)	Homo sapiens
205784_x_at	ARVCF delta catenin family member(ARVCF)	Homo sapiens
1556149_at	ARVCF delta catenin family member(ARVCF)	Homo sapiens
