PROBEID	GENENAME	fold_change	p_value
205592_at	solute carrier family 4 member 1 (Diego blood group)	-2.54282479207592	1.14399191918849e-17
221530_s_at	basic helix-loop-helix family member e41	3.09217336780541	1.17295941629939e-17
1553394_a_at	transcription factor AP-2 beta	-2.17079234665623	1.34905688479244e-17
230836_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	3.03618952808552	1.65337534884582e-17
202237_at	nicotinamide N-methyltransferase	3.53485127316145	1.88626384265292e-17
230741_at	purinergic receptor P2X 7	2.44369144979906	1.95299293135683e-17
239593_at	transmembrane protein 213	-4.29033809666033	1.96085248252085e-17
206716_at	uromodulin	-5.93795851862147	2.07641712256995e-17
205983_at	dipeptidase 1	-3.62743104632048	2.07888014996191e-17
205985_x_at	chloride voltage-gated channel Kb	-2.73092985062095	2.15857318354942e-17
204298_s_at	lysyl oxidase	3.10614712071151	2.16283815313545e-17
224480_s_at	glycerol-3-phosphate acyltransferase 3	-2.87759072867441	2.2951080647742e-17
221588_x_at	aldehyde dehydrogenase 6 family member A1	-2.71476873127101	2.32573051733383e-17
202803_s_at	integrin subunit beta 2	2.07468908490369	2.45966404910547e-17
221298_s_at	solute carrier family 22 member 8	-4.52825652326087	2.52762308352073e-17
231352_at	solute carrier family 22 member 8	-4.23346856077854	2.92882296093154e-17
204416_x_at	apolipoprotein C1	2.86184893199973	3.59720127694237e-17
212097_at	caveolin 1	2.5033988310025	3.63929626624552e-17
223869_at	sclerostin	-3.08528043690943	3.72460641873e-17
213967_at	RALY RNA binding protein like	-3.41248934360962	3.72705430134048e-17
230422_at	formyl peptide receptor 3	2.05537992348779	3.86774065847277e-17
215446_s_at	lysyl oxidase	3.46862909828625	3.912951003838e-17
205117_at	fibroblast growth factor 1	-2.96337418851359	4.70547351708459e-17
207047_s_at	chloride voltage-gated channel Ka	-3.6816256918053	5.24263756089768e-17
207047_s_at	chloride voltage-gated channel Kb	-3.6816256918053	5.24263756089768e-17
229437_at	MIR155 host gene	2.44161342887088	5.31226214393077e-17
229437_at	microRNA 155	2.44161342887088	5.31226214393077e-17
209220_at	glypican 3	-2.13060494023078	5.57315969423532e-17
227607_at	STAM binding protein like 1	2.23318984463139	5.81801465699398e-17
221589_s_at	aldehyde dehydrogenase 6 family member A1	-2.3789758303331	5.82563573447114e-17
202036_s_at	secreted frizzled related protein 1	-3.62991498790202	5.8891772122105e-17
230261_at	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	2.62453879056829	5.93555317973096e-17
229937_x_at	NA	2.17929788588838	6.13948590655769e-17
206404_at	fibroblast growth factor 9	-3.27408722782619	6.24514293259665e-17
228740_at	NA	-3.26743163784123	6.35356391206678e-17
232693_s_at	zinc finger protein 395	2.11133460298239	6.3801311138778e-17
232693_s_at	F-box protein 16	2.11133460298239	6.3801311138778e-17
232451_at	NA	2.52364815537286	7.4006388141119e-17
220197_at	ATPase H+ transporting V0 subunit a4	-3.60944522132518	8.21594789803973e-17
213906_at	MYB proto-oncogene like 1	2.05098912975756	8.2577756148906e-17
239805_at	solute carrier family 13 member 2	-3.29480413722669	8.69703529847668e-17
221590_s_at	aldehyde dehydrogenase 6 family member A1	-2.96657175136854	9.10817410981555e-17
228273_at	proline rich 11	2.05557615778127	9.69153486919679e-17
240183_at	transmembrane protein 213	-3.67739063254168	1.11074171886817e-16
213992_at	collagen type IV alpha 6 chain	-2.00067349029948	1.24171460541006e-16
214770_at	macrophage scavenger receptor 1	2.19180868526438	1.49910995639372e-16
201720_s_at	lysosomal protein transmembrane 5	2.08898418367743	1.63505057237539e-16
221123_x_at	zinc finger protein 395	2.1338476823366	1.64693136597346e-16
221123_x_at	F-box protein 16	2.1338476823366	1.64693136597346e-16
214598_at	claudin 8	-4.01943395649527	1.74314363456797e-16
228581_at	potassium inwardly rectifying channel subfamily J member 10	-3.0839987813295	1.74477718227432e-16
205777_at	dual specificity phosphatase 9	-2.35299445222319	1.74760399597606e-16
202752_x_at	solute carrier family 7 member 8	-2.38238372461446	1.93315198030062e-16
216092_s_at	solute carrier family 7 member 8	-2.50631499032455	1.93411799289851e-16
210403_s_at	potassium inwardly rectifying channel subfamily J member 1	-3.8778243387956	2.00370019195145e-16
223216_x_at	zinc finger protein 395	2.12156108133501	2.05837328579302e-16
223216_x_at	F-box protein 16	2.12156108133501	2.05837328579302e-16
236044_at	phospholipid phosphatase 4	-2.07911328920871	2.1151219811997e-16
239006_at	solute carrier family 26 member 7	-3.83787699961321	2.15948603053821e-16
230565_at	ATPase H+ transporting V1 subunit G3	-2.75861795939072	2.24046224237373e-16
1552256_a_at	scavenger receptor class B member 1	2.28932033632187	2.31434540308982e-16
211919_s_at	C-X-C motif chemokine receptor 4	2.30207628689169	2.34629436795058e-16
213456_at	sclerostin domain containing 1	-2.70141745026961	2.37523528992891e-16
204290_s_at	aldehyde dehydrogenase 6 family member A1	-2.63090207190073	2.50800794629783e-16
1552721_a_at	fibroblast growth factor 1	-2.96127057015724	2.653281756452e-16
204198_s_at	RUNX family transcription factor 3	2.03654890171983	2.68073416491215e-16
243562_at	kininogen 1	-2.9790654288066	2.76385781003829e-16
214053_at	erb-b2 receptor tyrosine kinase 4	-3.31767547832462	3.01499259998339e-16
201819_at	scavenger receptor class B member 1	2.27977260532864	3.37118846905488e-16
202902_s_at	cathepsin S	2.31299222341014	3.47975201255029e-16
205269_at	lymphocyte cytosolic protein 2	2.17276217013105	3.63009453389224e-16
227450_at	endoplasmic reticulum protein 27	-2.42601911619612	3.69550330582416e-16
238327_at	outer dense fiber of sperm tails 3B	2.07718537571708	3.69901670195563e-16
209183_s_at	DEPP1 autophagy regulator	2.33508898428117	3.86065463044927e-16
200832_s_at	stearoyl-CoA desaturase	2.24434662794145	4.09409712177172e-16
242275_at	NA	-3.37583995270193	4.37116725074154e-16
238248_at	NA	-3.55255429486438	4.49119760102819e-16
202619_s_at	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	2.05622148061759	4.53350780610358e-16
204130_at	hydroxysteroid 11-beta dehydrogenase 2	-2.74971469082153	4.67237009969444e-16
206226_at	histidine rich glycoprotein	-3.48439468626553	4.71182776332386e-16
231068_at	solute carrier family 47 member 2	-3.2074376015559	5.28497966954952e-16
202202_s_at	laminin subunit alpha 4	2.6296249486568	5.53863246417325e-16
231058_at	FXYD domain containing ion transport regulator 4	-3.36113615466463	6.04480142562178e-16
209460_at	4-aminobutyrate aminotransferase	-2.83775704885397	6.84336810906646e-16
231634_at	solute carrier family 12 member 3	-2.76271462737032	7.37930370645095e-16
209459_s_at	4-aminobutyrate aminotransferase	-2.9448961627378	7.51259888620298e-16
202503_s_at	PCNA clamp associated factor	2.0292379750163	7.77868757140641e-16
210029_at	indoleamine 2,3-dioxygenase 1	2.21187281471571	7.79420232235715e-16
205471_s_at	dachshund family transcription factor 1	-2.03557220339103	7.87326269441363e-16
1559131_a_at	uncharacterized LOC101928047	-2.22957306723934	8.84704616604762e-16
206026_s_at	TNF alpha induced protein 6	4.21053791214622	8.87345571990162e-16
205984_at	corticotropin releasing hormone binding protein	-2.32330219438195	9.29840067504811e-16
203065_s_at	caveolin 1	2.38951891276102	9.53099833612821e-16
205751_at	SH3 domain containing GRB2 like 2, endophilin A1	-3.15281750394122	9.67350737157524e-16
1553155_x_at	ATPase H+ transporting V0 subunit d2	-2.34323888135811	9.82602405182337e-16
228462_at	iroquois homeobox 2	-2.44010263476164	1.02672826318957e-15
236646_at	transmembrane protein 52B	-4.24415460824715	1.04714624584868e-15
228915_at	dachshund family transcription factor 1	-2.21156917605435	1.05921324339017e-15
206457_s_at	iodothyronine deiodinase 1	-5.09990263500016	1.12317963664621e-15
209201_x_at	C-X-C motif chemokine receptor 4	2.16081138399441	1.13588630666678e-15
201721_s_at	lysosomal protein transmembrane 5	2.05261282485954	1.25137429335729e-15
206484_s_at	X-prolyl aminopeptidase 2	-4.10028291467109	1.34063662301462e-15
236360_at	PRDM16 divergent transcript	-2.50391585814235	1.34989524622929e-15
208354_s_at	solute carrier family 12 member 3	-2.5445053114813	1.35200338913564e-15
230030_at	heparan sulfate 6-O-sulfotransferase 2	-3.4505624234666	1.49446549852709e-15
238919_at	protocadherin 9	-2.01929270176983	1.63928563297277e-15
1555938_x_at	vimentin	2.03910855620488	1.75081628396719e-15
204393_s_at	acid phosphatase 3	-2.54267565649976	1.79518728519664e-15
1553153_at	ATPase H+ transporting V0 subunit d2	-2.51937613770149	1.94936939364547e-15
204931_at	transcription factor 21	-2.15284903106423	2.03787037283455e-15
205258_at	inhibin subunit beta B	2.31581996201626	2.13223661297316e-15
209443_at	serpin family A member 5	-3.1305596355056	2.1671007250548e-15
236630_at	aquaporin 2	-3.45884400695053	2.17003078134936e-15
223501_at	TNF superfamily member 13b	2.0871368464824	2.3554458667671e-15
228964_at	PR/SET domain 1	2.05777580858604	2.38818374653168e-15
204446_s_at	arachidonate 5-lipoxygenase	2.51582852404728	2.39964244750533e-15
217028_at	C-X-C motif chemokine receptor 4	2.50966435723041	2.49459719070242e-15
1554748_at	chloride voltage-gated channel Kb	-3.62179317160115	2.55409991598949e-15
207981_s_at	estrogen related receptor gamma	-2.74227829380797	2.57721819794089e-15
229254_at	major facilitator superfamily domain containing 4A	-2.67776084483365	2.69348038087478e-15
229390_at	calcium homeostasis modulator family member 6	2.82357148525891	2.79580242627573e-15
207174_at	glypican 5	-2.91562668794469	2.81699839292148e-15
205243_at	solute carrier family 13 member 3	-3.63602637807139	2.87199880716946e-15
211689_s_at	transmembrane serine protease 2	-2.08631549549944	2.91925556801329e-15
202740_at	aminoacylase 1	-2.6329274041607	2.94151603094174e-15
202740_at	ABHD14A-ACY1 readthrough	-2.6329274041607	2.94151603094174e-15
206025_s_at	TNF alpha induced protein 6	3.86668361511232	3.11028841887522e-15
205572_at	angiopoietin 2	2.83090955612816	3.23156154727908e-15
231376_at	uridine phosphorylase 2	-3.79177606352062	3.36970142024454e-15
235746_s_at	phospholipase A2 receptor 1	-2.23653504739868	3.49374464225979e-15
231632_at	glutamate rich 4	-2.33250432568374	3.5366805510016e-15
206754_s_at	cytochrome P450 family 2 subfamily B member 6	-2.3999599740922	3.5712337412859e-15
206754_s_at	cytochrome P450 family 2 subfamily B member 7, pseudogene	-2.3999599740922	3.5712337412859e-15
1552767_a_at	heparan sulfate 6-O-sulfotransferase 2	-3.47681153372214	3.66065567269569e-15
205244_s_at	solute carrier family 13 member 3	-3.71511979944722	3.71509914304102e-15
202953_at	complement C1q B chain	2.34877877777016	3.7360282881528e-15
212588_at	protein tyrosine phosphatase receptor type C	2.08676972834259	4.35776495338033e-15
227480_at	sushi domain containing 2	-2.40196232645131	4.41286172887163e-15
1555756_a_at	C-type lectin domain containing 7A	2.01471504145751	4.52532519811306e-15
1554899_s_at	Fc fragment of IgE receptor Ig	2.21260344684377	4.56014101830524e-15
205502_at	cytochrome P450 family 17 subfamily A member 1	-3.19889233424327	5.02629893115882e-15
219386_s_at	SLAM family member 8	2.06178630826638	5.15707638465052e-15
229916_at	ectonucleotide pyrophosphatase/phosphodiesterase 6	-3.54488586122781	5.20446232596284e-15
218186_at	RAB25, member RAS oncogene family	-2.34442141868617	5.42925727306415e-15
237587_at	NA	-2.38408449179125	5.65973593770488e-15
226661_at	cell division cycle associated 2	2.97149254326151	6.35282767534758e-15
230931_at	plasminogen	-3.67150150821981	6.5463667411093e-15
227971_at	Nik related kinase	-2.4993913816117	7.11649980291904e-15
204704_s_at	aldolase, fructose-bisphosphate B	-4.94456976949165	7.12013961123761e-15
202901_x_at	cathepsin S	2.13025362986071	7.33599781643173e-15
228850_s_at	slit guidance ligand 2	-2.19890951670692	7.51210058734903e-15
205719_s_at	phenylalanine hydroxylase	-4.3202270788682	7.74464480772306e-15
202988_s_at	regulator of G protein signaling 1	2.83486788795356	7.80869120068327e-15
237261_at	angiopoietin 2	2.36862148662478	8.10819695139067e-15
223502_s_at	TNF superfamily member 13b	2.10371159632196	8.42620168479013e-15
216834_at	regulator of G protein signaling 1	2.50426916721366	8.54804213544945e-15
237582_at	NA	-3.29228021282742	8.75822909685174e-15
242269_at	PRDM16 divergent transcript	-2.47051464531492	9.37585919989816e-15
230406_at	NA	-2.41667210612914	9.75187362456787e-15
216910_at	X-prolyl aminopeptidase 2	-3.63537493391943	1.03983649169168e-14
1554749_s_at	chloride voltage-gated channel Kb	-2.12423781093275	1.04493591385455e-14
1559992_a_at	long intergenic non-protein coding RNA 645	-2.95492625571875	1.0968189005516e-14
211298_s_at	albumin	-5.11107493442279	1.11590177924085e-14
209966_x_at	estrogen related receptor gamma	-2.18453704717525	1.19210166345341e-14
1557474_at	MFSD4A antisense RNA 1	-2.67272251123415	1.19711946666166e-14
236180_at	NA	2.86167719533659	1.29627211384187e-14
205473_at	ATPase H+ transporting V1 subunit B1	-2.33208421330704	1.29954434931429e-14
214511_x_at	Fc fragment of IgG receptor Ib	2.2157957087205	1.32199195974429e-14
201939_at	polo like kinase 2	2.06275526463215	1.36001285992696e-14
205892_s_at	fatty acid binding protein 1	-4.77445910895671	1.51319440734194e-14
206840_at	afamin	-3.75310919900185	1.52646279965506e-14
223582_at	adhesion G protein-coupled receptor V1	-2.11319605205382	1.53251455216038e-14
211148_s_at	angiopoietin 2	2.33338295390658	1.60385843505711e-14
216604_s_at	solute carrier family 7 member 8	-2.77019787577041	1.66961290310743e-14
211527_x_at	vascular endothelial growth factor A	2.25301939811546	1.84624045092826e-14
225353_s_at	complement C1q C chain	2.11937975781594	1.89495519671396e-14
210199_at	crystallin alpha A	-2.7297479180363	1.97689786033144e-14
1553151_at	ATPase H+ transporting V0 subunit d2	-2.62340163366392	1.99274292007917e-14
237799_at	solute carrier family 22 member 12	-2.7877081246478	2.01169302339035e-14
238287_at	solute carrier family 7 member 13	-4.01918877467094	2.08704487666611e-14
219410_at	transmembrane protein 45A	3.3301442772415	2.15590239014848e-14
236474_at	NA	2.04775326088215	2.21744925890066e-14
232722_at	ribonuclease T2	2.35403435686944	2.2343385584233e-14
238668_at	NCK associated protein 1 like	2.01469714360291	2.2513061630506e-14
219866_at	chloride intracellular channel 5	-2.38350889386675	2.30952310988323e-14
225681_at	collagen triple helix repeat containing 1	3.50579817069641	2.4315176543366e-14
217583_at	phenylalanine hydroxylase	-3.18661905376024	2.49225400823547e-14
206420_at	immunoglobulin superfamily member 6	2.07906311380059	2.49359188953399e-14
233183_at	solute carrier family 4 member 9	-2.64497880127144	2.5351086762072e-14
229560_at	toll like receptor 8	2.10829380620002	2.73092312642803e-14
230472_at	iroquois homeobox 1	-2.46402390939031	2.93210509137127e-14
213317_at	chloride intracellular channel 5	-3.23940043970482	2.93390178803743e-14
216696_s_at	proline dehydrogenase 2	-2.57035617762428	3.01237986196502e-14
231391_at	cortexin 3	-3.96686918722135	3.274889203767e-14
235915_at	NA	-3.14881442909129	3.29742292245476e-14
202112_at	von Willebrand factor	2.8493281051236	3.73305706233433e-14
217973_at	dicarbonyl and L-xylulose reductase	-2.35035785264269	3.74527992554672e-14
231156_at	hydroxyacid oxidase 2	-2.66319310173132	3.86113187449846e-14
206672_at	aquaporin 2	-2.15423467475675	3.86301196900844e-14
219277_s_at	oxoglutarate dehydrogenase L	-2.15352675309451	4.03963506995712e-14
204705_x_at	aldolase, fructose-bisphosphate B	-4.22264208558789	4.14310522498287e-14
205413_at	metallophosphoesterase domain containing 2	-2.11070269801253	4.26123910692267e-14
223839_s_at	NA	2.11953779238092	4.36273432400375e-14
236652_at	NA	-2.50153433883436	4.39936432455924e-14
209696_at	fructose-bisphosphatase 1	-2.36002808162922	4.62418124876248e-14
242375_x_at	phenylalanine hydroxylase	-3.39776301970142	4.67290944624704e-14
217767_at	complement C3	3.00318219524694	4.69178386782717e-14
230585_at	potassium inwardly rectifying channel subfamily J member 15	-2.48523299945006	4.85165432935441e-14
241726_at	NA	-2.7754659843284	4.87402432228066e-14
1564485_at	long intergenic non-protein coding RNA 887	2.673237318516	4.87794259716449e-14
206214_at	phospholipase A2 group VII	2.00540201634516	4.88335025761023e-14
226492_at	semaphorin 6D	-2.24252344433154	5.04824825787358e-14
223939_at	succinate receptor 1	-2.50177073545457	5.42813145235154e-14
244044_at	NA	3.70819481681109	5.55945811784845e-14
232424_at	PR/SET domain 16	-2.13507328577426	5.59411690305386e-14
229168_at	collagen type XXIII alpha 1 chain	2.7144832943288	5.73753827391271e-14
205549_at	Purkinje cell protein 4	-2.65264773432951	6.47511661573869e-14
227253_at	ceruloplasmin	3.97578436835344	6.51096249201891e-14
212998_x_at	major histocompatibility complex, class II, DQ beta 1	2.16860878131314	6.73804378783089e-14
229302_at	transmembrane protein 178A	-2.14367830618299	6.73842825064352e-14
242372_s_at	major facilitator superfamily domain containing 4A	-2.21142527903021	7.07682589844635e-14
217238_s_at	aldolase, fructose-bisphosphate B	-4.93179671189376	7.18193509262619e-14
242601_at	HEPACAM family member 2	-2.72001977383883	7.32523690046364e-14
215274_at	solute carrier family 12 member 3	-2.34133769534884	7.60282962631133e-14
220310_at	tubulin alpha like 3	-2.18931710625163	7.88575451714568e-14
239178_at	fibroblast growth factor 9	-2.37143092750129	7.94652817574543e-14
219554_at	Rh family C glycoprotein	-2.23744133859754	9.34016509738924e-14
205488_at	granzyme A	2.23544017273363	9.48048189409823e-14
234314_at	Ral GTPase activating protein catalytic subunit alpha 2	-2.01277168701434	9.60867359216845e-14
213479_at	neuronal pentraxin 2	4.30064398163217	9.67319109448724e-14
227642_at	transcription factor CP2 like 1	-3.28721254726964	1.00505310094096e-13
229391_s_at	calcium homeostasis modulator family member 6	2.25559724192522	1.02819994292924e-13
236374_at	cortexin 3	-3.10146335835723	1.08428888115411e-13
242662_at	proprotein convertase subtilisin/kexin type 6	2.53218440594789	1.09410924320934e-13
205776_at	flavin containing dimethylaniline monoxygenase 5	-2.22574793095102	1.17467186820167e-13
240320_at	ring finger protein 212B	-2.97970417856676	1.27553486366591e-13
209977_at	plasminogen	-3.6173526380545	1.27765092029541e-13
223343_at	membrane spanning 4-domains A7	2.02499566175034	1.30031449574325e-13
229158_at	WNK lysine deficient protein kinase 4	-2.09976590365002	1.35363755641269e-13
204971_at	cystatin A	2.05363065327733	1.50345264698271e-13
216599_x_at	solute carrier family 22 member 6	-2.96262769325341	1.50821995316275e-13
208177_at	solute carrier family 34 member 1	-2.53122424402078	1.52468003162649e-13
1558034_s_at	ceruloplasmin	3.43778081989843	1.59028976818202e-13
210343_s_at	solute carrier family 22 member 6	-2.97356854035415	1.59600176431757e-13
226597_at	receptor accessory protein 6	-2.01541057416132	1.63540717002769e-13
206024_at	4-hydroxyphenylpyruvate dioxygenase	-4.62794682842394	1.67553452724097e-13
213362_at	protein tyrosine phosphatase receptor type D	-2.09561859971725	1.71378651347425e-13
236034_at	angiopoietin 2	2.26225958078508	1.72772391648148e-13
231677_at	NA	-2.65031802170857	1.83964828338964e-13
207076_s_at	argininosuccinate synthase 1	-2.38894459867481	1.90650543014261e-13
216603_at	solute carrier family 7 member 8	-2.6504631933534	2.07184557643784e-13
229797_at	mucolipin 3	-2.18006886186078	2.14488833092726e-13
206952_at	glucose-6-phosphatase catalytic subunit	-3.72042575667152	2.20054214942059e-13
231398_at	solute carrier family 22 member 7	-3.43568321819327	2.30774009493795e-13
230130_at	slit guidance ligand 2	-2.37752683450462	2.36296973841025e-13
239420_at	long intergenic non-protein coding RNA 1187	-2.37698039542231	2.40806111011576e-13
231208_at	solute carrier family 13 member 3	-2.01631183417336	2.4219218748303e-13
209602_s_at	GATA binding protein 3	-2.08000721427084	2.5194943346053e-13
1554668_a_at	family with sequence similarity 151 member A	-3.53169880306325	2.57833787318538e-13
236220_at	solute carrier family 16 member 10	-2.07127524087891	2.67039750736056e-13
231683_at	glycine-N-acyltransferase	-2.38291228605417	2.75849979719162e-13
240910_at	NA	-3.38211704437587	2.94467484267987e-13
206558_at	SIM bHLH transcription factor 2	-2.25034440929788	3.22585316875333e-13
228375_at	immunoglobulin superfamily member 11	-2.11885991552391	3.34629013536862e-13
220801_s_at	hydroxyacid oxidase 2	-2.90737008800673	3.43759336790424e-13
206254_at	epidermal growth factor	-3.4696087573629	3.63768252543896e-13
206755_at	cytochrome P450 family 2 subfamily B member 6	-2.07762075312692	3.64888967953972e-13
207414_s_at	proprotein convertase subtilisin/kexin type 6	2.2820739468294	3.65334352388556e-13
207414_s_at	uncharacterized LOC100507472	2.2820739468294	3.65334352388556e-13
210165_at	deoxyribonuclease 1	-2.04762876425676	3.68283469424909e-13
233604_at	chromosome 3 open reading frame 85	-3.0436486649156	3.77676430898111e-13
231623_at	transmembrane protein 174	-3.07687489537357	3.88294776538185e-13
218918_at	mannosidase alpha class 1C member 1	-2.19330003751947	3.92549276417222e-13
213285_at	transmembrane protein 30B	-2.44624006924649	4.0624152299057e-13
212587_s_at	protein tyrosine phosphatase receptor type C	2.07704119543305	4.0833131927792e-13
211357_s_at	aldolase, fructose-bisphosphate B	-4.0226220029988	4.44804032573583e-13
227238_at	mucin 15, cell surface associated	-2.84752241516584	4.58372936169298e-13
236892_s_at	HOXB cluster antisense RNA 3	-2.22028878623594	5.21249378801121e-13
218844_at	acyl-CoA synthetase family member 2	-2.49125812185779	5.68669954695437e-13
241560_at	NA	-3.27967163166187	5.69328668780849e-13
209978_s_at	plasminogen	-3.89270625700272	6.11208744845229e-13
209978_s_at	lipoprotein(a)	-3.89270625700272	6.11208744845229e-13
227194_at	FAM3 metabolism regulating signaling molecule B	-2.37875852206079	6.31480459829956e-13
206878_at	D-amino acid oxidase	-2.69017810989129	6.35469225150971e-13
224942_at	pappalysin 1	-2.11047373679766	6.53772797931118e-13
209604_s_at	GATA binding protein 3	-2.16815317267691	6.99085084673962e-13
217014_s_at	alpha-2-glycoprotein 1, zinc-binding	-2.3206146961163	7.67690975273745e-13
217014_s_at	AZGP1 pseudogene 1	-2.3206146961163	7.67690975273745e-13
204846_at	ceruloplasmin	3.71845229322993	7.81434365698452e-13
236489_at	adhesion G protein-coupled receptor F1	-2.27597213513738	8.17316617230508e-13
201506_at	transforming growth factor beta induced	2.56058890910117	1.09700237906886e-12
227629_at	prolactin receptor	-2.47373587423044	1.10018699781435e-12
205336_at	parvalbumin	-2.81449662941569	1.11318875597122e-12
202992_at	complement C7	-2.92589285139171	1.11591246704063e-12
231311_at	NA	-2.74788828520128	1.17324054916448e-12
222083_at	glycine-N-acyltransferase	-2.27324205892494	1.18837199315863e-12
229580_at	calsyntenin 2	-2.17494975604146	1.35510343087061e-12
206286_s_at	teratocarcinoma-derived growth factor 1	-2.56030871965659	1.47662239888555e-12
206286_s_at	teratocarcinoma-derived growth factor 1 pseudogene 3	-2.56030871965659	1.47662239888555e-12
242517_at	KISS1 receptor	4.25826342098653	1.55950730401611e-12
204777_s_at	mal, T cell differentiation protein	-2.83470093387881	1.86723735015113e-12
214261_s_at	alcohol dehydrogenase 6 (class V)	-2.55784275655289	1.88067482618371e-12
205694_at	tyrosinase related protein 1	-2.98473741184105	1.90615938670215e-12
243614_s_at	proline dehydrogenase 2	-2.00030410628052	1.96728122553119e-12
217530_at	solute carrier family 34 member 1	-2.45080731707369	2.04394751260398e-12
208394_x_at	endothelial cell specific molecule 1	2.30515225977259	2.09856174530824e-12
